id_transacao,data_da_venda,nome_produto,categoria_prod,qtd_vendida,preco_unitario,uf_cliente,id_cliente,forma_pagamento
TRN-380,13/05/2026,tablet z,Eletronicos,3,BRL 1310.20,MG,4016,Pix
TRN-13272,2026-06-21,Smartphone Y,Eletronicos,15,BRL 2202.97,CE,7702,Cartao de Credito
TRN-44462,2026/01/02 00:00:00,Notebook X,Eletronicos,-12,BRL 3157.08, SC ,1156,Boleto Bancario
TRN-47536,2026-03-07,Mouse Sem Fio,perifericos,13,sem preco,SC-,4150,CC
TRN-40020,2026/06/06 00:00:00,TABLET Z,Eletronicos,12,1184.56,RS,7384,Pix
37396,N/A,  Smartphone Y ,Eletronicos,4,sem preco,RJ,ID-1131,Cartao de Credito
TRN-40559,29/03/2026,Teclado Mecanico,Perifericos,10,BRL 227.92,PR,1565,Boleto Bancario
TRN-19713,2026-05-13,,Perifericos,4,BRL 257.60,MG,2764,Pix
TRN-37757,2026-05-09,Notebook X,Eletronicos,2,"R$ 3.459,93", PE ,5492,Cartao de Credito
TRN-28590,2026/01/25 00:00:00,Fon3 d3 Ouvido,Audio,6,191.00,ce,7752,Boleto Bancario
TRN-44294,28/03/2026,Fone de Ouvido,Audio,5,"R$ 166,71",PE,ID-8554,Pix
TRN-33008,01-02-2026,Teclado Mecanico,,4,"R$ 254,96",MG,2278,Pix
TRN-39702,14/04/2026,Smartphone Y,Eletronicos,,BRL 2253.83, PE ,8789,Pix
TRN-49293,2026-01-24,Teclado Mecanico,,-3,"R$ 244,80",ba,5299,Cartao de Credito
TRN-12890,10/05/2026,T3cl@do M3c@nico,Perifericos,13.0,BRL 240.01,MG,7361,pix
TRN-11985,2026/03/11 00:00:00,TECLADO MECANICO,Perifericos,4,BRL 239.78,CE,7571,Boleto Bancario
TRN-21531,2026-06-23,Teclado Mecanico,ND,2,273.84,GO,6102,Boleto Bancario
TRN-28849,05-04-2026,T3cl@do M3c@nico,ND,3,"R$ 245,07",RJ,1412,Boleto Bancario
TRN-31335,06-22-2026,TABLET Z,Eletronicos,2,sem preco,pe,ID-2484,Pix
TRN-27947,2026/01/03 00:00:00,Smartphone Y,eletronicos,3,2153.13,PR,1181,Cartao de Credito
TRN-18044,10.05.26,Notebook X,eletronicos,3,"R$ 3.259,05",CE,8038,pix
TRN-35623,08.02.26,Notebook X,Eletronicos,5,"3630,95",SC,2594,Pix
TRN-35315,10.02.26,Notebook X,Eletronicos,1,BRL 3369.12,MG,3013 ,BOLETO BANCARIO
TRN-18918,04-22-2026,Tablet Z,Eletronicos,-12,"1309,64",GO,3694,cartao de credito
TRN-1440,13.05.26,tablet z,Eletronicos,6,sem preco,RJ,9023,pix
TRN-12034,2026/04/25 00:00:00,Notebook X,Eletronicos,,BRL 3539.59,RS,5997,Boleto Bancario
TRN-2723,2026/04/02 00:00:00,  Smartphone Y ,ND,14,"2112,37",rj,7452,Boleto Bancario
TRN-6188,10.03.26,Mouse Sem Fio,Perifericos,-6,"123,95",PE,5942,Boleto Bancario
TRN-5813,07.02.26,Notebook X,Eletronicos,1,BRL 3160.78,CE,2679,Pix
TRN-47364,04-16-2026,Tablet Z,ND,4,"R$ 1.256,50",ce,ID-7939,Boleto Bancario
TRN-21719,2026-04-14,Monitor 24,Perifericos,8,"784,13",rj,8608,Pix
TRN-41224,31/03/2026,NOTEBOOK X,Eletronicos,-2,"R$ 3.814,13",Rio de Janeiro,4186,Pix
TRN-40186,04-14-2026,Tablet Z,Eletronicos,2,sem preco,BA,4769,pix
TRN-10259,04-20-2026,  Notebook X ,,6,3579.52,SP,3874 ,cartao de credito
TRN-1551,23.01.26,tablet z,Eletronicos,15,"1144,10",SP,7228,Boleto Bancario
TRN-2329,2026-04-01,TECLADO MECANICO,Perifericos,10.0,"R$ 261,91",BA,4213,Pix
TRN-46096,21/01/2026,  Monitor 24 ,Perifericos,10,777.45,BA,1286 ,
TRN-21573,2026-05-17,Teclado Mecanico,Perifericos,2 pcs,"227,50",GO,1171,Pix
TRN-47387,01-12-2026,Notebook X,eletronicos,14,"3508,23", SC ,7271,
TRN-45132,2026-02-14,,Eletronicos,6,"R$ 1.134,01",BA,9802,Pix
TRN-1696,2026-05-26,  Teclado Mecanico ,Perifericos,13,234.01,RJ,9226,Pix
TRN-14170,05.04.26,Tablet Z,Eletronicos,13,1305.07,RS,6275,boleto bancario
16336,23.01.26,Mouse Sem Fio,perifericos,3,"R$ 131,81",Rio de Janeiro,2079,Boleto Bancario
TRN-320,2026/04/18 00:00:00,Smartphone Y,Eletronicos,5,2142.549097938683,BA,7117,Cartao de Credito
TRN-25220,11/05/2026,Notebook X,Eletronicos,3,BRL 3796.15,RJ,6775,Boleto Bancario
TRN-19957,2026/05/05 00:00:00,monitor 24,Perifericos,2,781.2373084046746,RS,9295,boleto bancario
TRN-9432,17.01.26,,Eletronicos,15,BRL 1303.51,CE,1045,Pix
TRN-29772,22/02/2026,Tablet Z,Eletronicos,8.0,"1319,36",PR,8180,Pix
TRN-48909,2026-02-07,monitor 24,Perifericos,12,BRL 863.82,MG,4579,cartao de credito
TRN-28814,05-15-2026,  Monitor 24 ,Perifericos,11,720.52,BA,2487,Cartao de Credito
TRN-36730,2026/05/13 00:00:00,Mouse Sem Fio,ND,1,sem preco,PE,2679,cartao de credito
TRN-4690,30.06.26,Monitor 24,Perifericos,,817.02,SC,9510,Boleto Bancario
TRN-24515,2026-06-11,,ND,11.0,sem preco,GO-,5341 ,CARTAO DE CREDITO
TRN-21135,2026-03-08,  Teclado Mecanico ,ND,3.0,BRL 229.60, BA ,3394,cartao de credito
TRN-45493,06-22-2026,Monitor 24,Perifericos,15,836.29,PE-,2340,Boleto Bancario
TRN-35868,2026-02-20,Tablet Z,Eletronicos,11,1260.10, MG ,4614,Boleto Bancario
TRN-24413,N/A,,perifericos,2,"R$ 810,01",SC,2690,CARTAO DE CREDITO
TRN-45317,26.03.26,notebook x,Eletronicos,,BRL 3845.07,CE,9495,Pix
TRN-46386,N/A,MONITOR 24,ND,13,"R$ 820,05",PR,3596 ,Boleto Bancario
TRN-34775,02-23-2026,Mous3 S3m Fio,Perifericos,12.0,sem preco,RJ-,4653,
TRN-48936,2026-06-12,Fone de Ouvido,Audio,15,"186,58",MG,1726,Cartao de Credito
TRN-4652,2026/04/23 00:00:00,,Perifericos,11,sem preco,SP,3673,Pix
TRN-6131,28/01/2026,Smartphone Y,Eletronicos,,2181.9142073136277,CE,8348,Cartao de Credito
TRN-48752,25.05.26,T3cl@do M3c@nico,Perifericos,11,"R$ 250,92",MG-,8318,Cartao de Credito
TRN-46380,N/A,Fone de Ouvido,Audio,,"R$ 178,04",BA,1911,Pix
TRN-29146,14/02/2026,mouse sem fio,Perifericos,3,sem preco,GO,ID-5895,Boleto Bancario
TRN-47252,01/01/2026,TABLET Z,Eletronicos,14,1211.11,PE,4803,BOLETO BANCARIO
TRN-6583,2026/02/02 00:00:00,,Eletronicos,5,BRL 2165.50,GO,6582,
TRN-19163,2026/01/04 00:00:00,mouse sem fio,Perifericos,6,127.74319784059729,CE,1069,Boleto Bancario
TRN-1822,2026-05-16,Teclado Mecanico,Perifericos,12,"R$ 237,71",PR,4855,Boleto Bancario
TRN-36803,10/03/2026,Smartphone Y,Eletronicos,4,2275.62,SP,ID-3859,Pix
TRN-39094,N/A,Mouse Sem Fio,Perifericos,,"117,15",RS,7982,Cartao de Credito
TRN-24240,2026/01/29 00:00:00,Notebook X,Eletronicos,2,BRL 3161.02,BA,4305,PIX
TRN-8812,2026-04-15,Fone de Ouvido,Audio,,"172,31",GO,4391,boleto bancario
TRN-21285,04-07-2026,Mouse Sem Fio,Perifericos,10,127.38101239585212,SC,1147,Pix
TRN-45311,14.03.26,Smartphone Y,Eletronicos,,"2187,07",PR,5816 ,cartao de credito
TRN-1424,06-03-2026,  Tablet Z ,eletronicos,14,BRL 1299.59,CE,7075,Boleto Bancario
TRN-40633,2026/05/22 00:00:00,TABLET Z,Eletronicos,12,"1256,05",SP,2741,Cartao de Credito
18761,2026/02/07 00:00:00,Smartphone Y,Eletronicos,11,2175.9022235709112,CE,8965,Pix
TRN-28923,2026-04-12,Teclado Mecanico,,9,BRL 259.69,RS,3451,Pix
TRN-6447,02-11-2026,Monitor 24,Perifericos,1.0,853.6816432784473,PR,3026,
TRN-12784,N/A,Tablet Z,Eletronicos,,1098.2583340168972,PR,3743,Boleto Bancario
TRN-3043,N/A,Teclado Mecanico,perifericos,9,BRL 266.16,RS,2747,Cartao de Credito
TRN-31124,N/A,mouse sem fio,Perifericos,4,BRL 108.17,SC,6038 ,boleto bancario
TRN-42863,2026-06-15,Smartphone Y,Eletronicos,10,"R$ 1.903,83",sp,4749,Boleto Bancario
TRN-44039,06/04/2026,teclado mecanico,Perifericos,10,"240,13",MG,8494 ,Cartao de Credito
TRN-22910,03-31-2026,,Eletronicos,1,sem preco,BA,5619 ,Pix
TRN-10693,03-19-2026,Teclado Mecanico,Perifericos,2,"R$ 229,17",sp,4808,Cartao de Credito
TRN-22891,2026-03-14,Monitor 24,,1,"879,54",CE,8299,Pix
TRN-12041,2026-04-10,Mouse Sem Fio,Perifericos,4,119.40,SP-,8963,CC
TRN-19638,N/A,,audio,7,189.30,pe,4567,Pix
TRN-6458,30.06.26,Notebook X,Eletronicos,12 pcs,3826.11,RJ,9745,Pix
TRN-28847,2026-05-07,Monitor 24,Perifericos,,"R$ 775,90",RJ,4367,Boleto Bancario
TRN-27332,16/06/2026,TECLADO MECANICO,Perifericos,13,sem preco,GO,5156 ,BOLETO BANCARIO
TRN-47003,2026/01/03 00:00:00,Smartphone Y,Eletronicos,4,"R$ 2.101,19",RS,9736,cartao de credito
TRN-26299,2026/06/15 00:00:00,,Perifericos,12,"R$ 238,85",PE,5583,Pix
TRN-49119,2026-03-29,Notebook X,Eletronicos,4,3561.99,sc,5024,Boleto Bancario
TRN-40124,N/A,T3cl@do M3c@nico,Perifericos,9,"240,59",ce,8985,Cartao de Credito
TRN-11971,09/06/2026,Fone de Ouvido,Audio,6,sem preco,PR,8650 ,CARTAO DE CREDITO
TRN-45640,22.04.26,,Eletronicos,2,BRL 1224.76, GO ,3996,
TRN-8502,21/02/2026,,Eletronicos,2,"2065,85",SC,5816,pix
TRN-40506,09/04/2026,Tablet Z,Eletronicos,14,"1290,81",CE,3381 ,Boleto Bancario
TRN-15506,10.04.26,smartphone y,Eletronicos,1,"R$ 2.155,45",MG,ID-2273,Boleto Bancario
TRN-41376,2026-04-13,Monitor 24,Perifericos,15,"R$ 856,78",Rio de Janeiro,1778 ,
TRN-18139,2026/03/17 00:00:00,Monitor 24,perifericos,12,862.35,MG,5183,Cartao de Credito
TRN-5794,03-04-2026,Sm@rtphon3 Y,Eletronicos,10,2229.83,PE,8783,Cartao de Credito
TRN-7562,26.04.26,Monitor 24,Perifericos,6,"839,25",SP,7934,Pix
TRN-41956,2026-05-05,mouse sem fio,Perifericos,8,BRL 122.99,PR,4173,Boleto Bancario
TRN-37905,02-04-2026,  Notebook X ,Eletronicos,13.0,sem preco, SP ,6748,Boleto Bancario
TRN-19990,03-09-2026,Tablet Z,Eletronicos,9,BRL 1266.77,RJ,7693,Boleto Bancario
TRN-14290,N/A,  Tablet Z ,,10,1176.17,CE,5465,Boleto Bancario
TRN-40752,2026-04-27,Mous3 S3m Fio,Perifericos,4,"113,91",SC,5387,Pix
TRN-27592,N/A,SMARTPHONE Y,Eletronicos,14,"2223,44",MG,6921,CC
37211,04-29-2026,Smartphone Y,Eletronicos,3.0,"R$ 2.228,03",RJ,9501,Cartao de Credito
TRN-34719,2026-01-06,Mouse Sem Fio,,3,sem preco,GO,5041,Pix
TRN-49037,01-15-2026,,ND,1,"R$ 2.150,72",GO,6965,
TRN-15951,2026-05-13,,,11,"2098,62",SC,3624,CARTAO DE CREDITO
TRN-46160,26/04/2026,Fone de Ouvido,ND,3,"184,65",MG,8668,Boleto Bancario
TRN-27016,2026-06-22,Notebook X,Eletronicos,3,sem preco, SP ,ID-5658,Cartao de Credito
TRN-38108,N/A,Fone de Ouvido,Audio,1,191.30403085150195,SC-,3918,Boleto Bancario
TRN-38361,N/A,Teclado Mecanico,Perifericos,13,259.49,PE,3996,Boleto Bancario
TRN-580,02.01.26,Mous3 S3m Fio,Perifericos,2,"R$ 113,26",CE,4599 ,Pix
TRN-7535,28/04/2026,Teclado Mecanico,Perifericos,11,"252,04", RS ,1518,Boleto Bancario
TRN-13437,02-20-2026,  Tablet Z ,Eletronicos,15,"1228,41",SP,8449,Boleto Bancario
TRN-5124,12.04.26,Monitor 24,,5,"864,81",MG,9151,Pix
TRN-41266,02/05/2026,Monitor 24,,14,BRL 867.34,CE,3870,Pix
TRN-31928,20.04.26,  Fone de Ouvido ,Audio,12,189.08, SP ,ID-4548,
TRN-10993,15/04/2026,Mouse Sem Fio,,9,sem preco,Minas Gerais,6729,
TRN-20266,2026/04/26 00:00:00,Monitor 24,Perifericos,14,868.2791483196811,PE,7875,Pix
TRN-41874,01-26-2026,,ND,5,"1230,45",SP,1209,Cartao de Credito
34345,13.05.26,Smartphone Y,Eletronicos,5,2120.286692190168, CE ,5339,CARTAO DE CREDITO
TRN-39885,18/04/2026,Mouse Sem Fio,Perifericos,9 pcs,"R$ 125,94",RS,1835,Boleto Bancario
TRN-48728,07.03.26,Tablet Z,Eletronicos,13,BRL 1190.04,GO,ID-1018,BOLETO BANCARIO
TRN-27651,25/05/2026,  Notebook X ,Eletronicos,12,3486.15,BA,6898,
TRN-26914,2026-06-27,Monitor 24,perifericos,12,"R$ 873,39",RS,2851,Pix
37961,08/01/2026,Tablet Z,Eletronicos,3,"1263,05",PR-,3126,Cartao de Credito
TRN-17838,2026/03/31 00:00:00,FONE DE OUVIDO,,11,"R$ 196,12",PR,8421,
TRN-1291,05-19-2026,Fone de Ouvido,Audio,13,sem preco,PR,8952,pix
TRN-9530,06/04/2026,  Tablet Z ,Eletronicos,12,1180.2719723796515,GO,6095,Boleto Bancario
TRN-46984,2026-05-12,Fon3 d3 Ouvido,Audio,12,188.37,PR,5063,Pix
TRN-42285,05-10-2026,  Tablet Z ,Eletronicos,4,1185.75,MG,3099,Boleto Bancario
TRN-32710,08/05/2026,Smartphone Y,Eletronicos,8,2161.75, RS ,9628,
TRN-32654,31.03.26,,Perifericos,1,"R$ 744,30",BA-,1795,Cartao de Credito
TRN-20541,2026-03-19,  Smartphone Y ,Eletronicos,8,"R$ 2.269,97",ba,6022,Boleto Bancario
TRN-41908,20/06/2026,notebook x,Eletronicos,9,sem preco,CE,3631,Boleto Bancario
TRN-44090,03-21-2026,Smartphone Y,Eletronicos,9,"R$ 2.138,90",Rio de Janeiro,1006,Boleto Bancario
TRN-37910,2026/01/15 00:00:00,Smartphone Y,eletronicos,12,"2086,63",RS,7771,
TRN-19958,28/04/2026,Monitor 24,Perifericos,9,735.8665438060178,sc,5746,Cartao de Credito
TRN-42161,02-11-2026,Tablet Z,Eletronicos,12,BRL 1143.43, GO ,7064 ,Pix
47753,08/01/2026,monitor 24,perifericos,3,"876,05",RJ,3441,Cartao de Credito
TRN-14616,2026/03/30 00:00:00,tablet z,,,sem preco,CE,1795,Pix
TRN-12870,24/05/2026,Smartphone Y,eletronicos,1 pcs,"2172,08",MG-,1816,Pix
TRN-21448,08/05/2026,Mouse Sem Fio,,14,"R$ 111,10",BA,7311,boleto bancario
TRN-12485,21.03.26,Smartphone Y,eletronicos,6,sem preco,RS,4841,Pix
TRN-48277,03-13-2026,  Fone de Ouvido ,Audio,3,sem preco,RJ,8238,Boleto Bancario
TRN-48564,02-15-2026,Smartphone Y,Eletronicos,10,BRL 2055.68,RS,ID-5844,Pix
31587,25.05.26,Teclado Mecanico,Perifericos,7,BRL 241.26,RJ,8539,
TRN-48917,2026-03-21,mouse sem fio,Perifericos,7,"R$ 130,68",CE,ID-3609,Boleto Bancario
TRN-15058,2026-04-15,Smartphone Y,Eletronicos,15,BRL 1973.41,RS-,6856,Cartao de Credito
TRN-39887,05.05.26,Tablet Z,eletronicos,1,"1257,43",RS,3282,Pix
TRN-9263,02-22-2026,,eletronicos,5,1205.3625856766728,MG,3766 ,PIX
TRN-6493,01-06-2026,  Fone de Ouvido ,Audio,12,"191,40",CE,3214,Boleto Bancario
TRN-8077,2026/05/29 00:00:00,MONITOR 24,perifericos,14,776.03,RS,9611,Boleto Bancario
TRN-42568,06-01-2026,Mouse Sem Fio,perifericos,1,BRL 129.39,BA,2899,CC
TRN-3025,2026/05/17 00:00:00,,ND,1,BRL 168.08,MG,5668,BOLETO BANCARIO
TRN-43179,2026-05-06,Smartphone Y,Eletronicos,2 pcs,"R$ 2.283,98", SC ,1962,pix
TRN-37749,2026/03/22 00:00:00,,Perifericos,-6,BRL 108.61,RJ,3445,cartao de credito
TRN-43868,03-07-2026,,Audio,11,sem preco,RS,2647,Boleto Bancario
TRN-22280,25.05.26,Teclado Mecanico,Perifericos,7,"254,42",rs,ID-8419,Boleto Bancario
TRN-45856,2026/02/12 00:00:00,Teclado Mecanico,,12,"R$ 234,41",BA,5157,Pix
TRN-8166,2026/05/23 00:00:00,,Perifericos,8,113.00608817476757,sp,5207,Boleto Bancario
TRN-42851,2026/06/24 00:00:00,,,7,sem preco,GO,8239 ,Cartao de Credito
TRN-30753,12.04.26,MONITOR 24,perifericos,2 pcs,813.17,CE,9518,Cartao de Credito
TRN-20833,02-19-2026,T3cl@do M3c@nico,Perifericos,2,"259,53",RS,2842 ,Pix
TRN-38992,16/06/2026,NOTEBOOK X,ND,7,"3504,36",PE,1293 ,Pix
TRN-36296,2026-03-24,Notebook X,Eletronicos,3,sem preco,GO,2855,Boleto Bancario
TRN-48658,03.06.26,,Eletronicos,15,1083.79,SP,5987,pix
TRN-20008,N/A,Monitor 24,Perifericos,-8,"780,31",CE,4769,Pix
TRN-14556,06-28-2026,  Tablet Z ,Eletronicos,13,"1099,59",PE,1924,Cartao de Credito
TRN-49249,02-07-2026,MOUSE SEM FIO,,15,"R$ 126,14",SC-,7102,Pix
TRN-47548,04-05-2026,Smartphone Y,Eletronicos,-13,2200.55,RS,3112,boleto bancario
TRN-48016,29/04/2026,  Tablet Z ,Eletronicos,8,"R$ 1.205,26",Sao Paulo,9059,Pix
TRN-38081,2026/04/16 00:00:00,  Teclado Mecanico ,Perifericos,6,250.88,RS,9240,pix
TRN-13634,02.06.26,mouse sem fio,Perifericos,10 pcs,123.11,RS,4206,Cartao de Credito
TRN-13157,N/A,Notebook X,Eletronicos,12,3240.271930121438,BA,1293,Boleto Bancario
TRN-24679,13/04/2026,Fone de Ouvido,Audio,4,"195,27",MG,6231,cartao de credito
TRN-30950,2026-04-02,,eletronicos,15,"1274,64",RS,1154,cartao de credito
TRN-15043,04-11-2026,Tablet Z,Eletronicos,7,1165.684601425938,GO,4202,Boleto Bancario
TRN-30408,2026-02-06,Mouse Sem Fio,Perifericos,9,sem preco,ce,9086,
TRN-19330,2026/04/27 00:00:00,monitor 24,Perifericos,15,"730,52",MG-,8306,Cartao de Credito
TRN-43610,2026/05/24 00:00:00,Monitor 24,Perifericos,3,"779,51", RS ,7676,Pix
TRN-3829,02-27-2026,Fone de Ouvido,Audio,7,"163,55", PR ,7858,boleto bancario
TRN-47859,23/06/2026,MONITOR 24,Perifericos,6,"R$ 809,21",go,5544,Pix
TRN-29712,11/01/2026,Notebook X,Eletronicos,15 pcs,BRL 3472.91, SP ,3908,Cartao de Credito
TRN-3515,2026-03-23,tablet z,Eletronicos,3,"1296,55",SC-,3700,Pix
TRN-49814,17.03.26,FONE DE OUVIDO,,3,"182,42",Minas Gerais,5377,Cartao de Credito
TRN-3469,N/A,Fone de Ouvido,Audio,-15,BRL 165.87,sc,7925,pix
TRN-6134,15.02.26,Tablet Z,Eletronicos,7 pcs,"R$ 1.195,70", PR ,7078,Cartao de Credito
TRN-18652,18/04/2026,,Audio,1,"R$ 184,93",PE-,3395,Cartao de Credito
TRN-35445,08.05.26,T3cl@do M3c@nico,Perifericos,,"239,74", SP ,7417 ,Cartao de Credito
TRN-33707,13.06.26,Notebook X,Eletronicos,4 pcs,"3333,78",BA,4380,Boleto Bancario
TRN-47815,26/02/2026,Teclado Mecanico,Perifericos,6.0,BRL 228.49,PE,9288,Cartao de Credito
TRN-11708,2026-03-24,FONE DE OUVIDO,Audio,5,BRL 180.69,rj,8367,Boleto Bancario
TRN-5203,06-26-2026,mouse sem fio,perifericos,6,sem preco,BA,3737,pix
TRN-23853,N/A,Teclado Mecanico,Perifericos,13,"255,84",RJ,3320,Pix
TRN-8595,2026-03-08,Monitor 24,ND,15,BRL 772.19,CE,ID-6011,Cartao de Credito
TRN-11131,03.01.26,Fon3 d3 Ouvido,Audio,2,197.08716547787267,CE,9170,CARTAO DE CREDITO
TRN-17096,05-26-2026,Teclado Mecanico,Perifericos,3,"243,31",sp,1178,Cartao de Credito
TRN-40950,2026/04/01 00:00:00,smartphone y,eletronicos,12,sem preco,BA,8454,Boleto Bancario
TRN-5662,11/01/2026,Notebook X,Eletronicos,10,"R$ 3.464,48",CE,6330,BOLETO BANCARIO
TRN-16699,2026/02/09 00:00:00,Mouse Sem Fio,Perifericos,11 pcs,131.76,RS,8083,Pix
TRN-10237,07/02/2026,Notebook X,eletronicos,4,"3368,52",RJ,6039,Pix
TRN-36773,03-29-2026,  Fone de Ouvido ,Audio,,195.19491016908827,SP,1622,Pix
TRN-4918,2026/05/21 00:00:00,smartphone y,Eletronicos,14,"2116,01",SP,1260,Pix
TRN-10270,2026-05-06,Mous3 S3m Fio,Perifericos,7,112.43609514646656,mg,3163,Boleto Bancario
TRN-36289,2026/04/11 00:00:00,Teclado Mecanico,ND,4,BRL 258.68,PR,5416 ,Cartao de Credito
TRN-30197,09/02/2026,,Perifericos,14,111.99,SC,ID-8085,Cartao de Credito
TRN-21268,2026/04/03 00:00:00,Teclado Mecanico,Perifericos,,265.53,SP,3489,boleto bancario
TRN-32805,2026-02-12,Mouse Sem Fio,Perifericos,11,"R$ 127,70",PE,ID-4436,Cartao de Credito
TRN-40026,25.04.26,Monitor 24,Perifericos,4,"R$ 869,12",RJ,5613,Cartao de Credito
TRN-17167,2026-02-14,Fone de Ouvido,Audio,7 pcs,sem preco,SP,5777,Pix
TRN-38318,N/A,  Smartphone Y ,Eletronicos,15,"2093,55",SC,ID-4277,Boleto Bancario
TRN-44110,2026/06/02 00:00:00,,Eletronicos,11,"R$ 1.923,93",PR,4358,Cartao de Credito
TRN-49494,10/04/2026,Notebook X,eletronicos,6,"R$ 3.581,24",CE-,ID-3666,Cartao de Credito
TRN-40893,28.02.26,mouse sem fio,perifericos,4,"R$ 117,87",RJ,6258,Boleto Bancario
TRN-46959,30/06/2026,TECLADO MECANICO,perifericos,7.0,BRL 274.91,sc,5807,Pix
TRN-44946,N/A,T3cl@do M3c@nico,Perifericos,3,"R$ 225,61",PE-,8256,Cartao de Credito
27133,01/03/2026,,audio,6,"180,96",SC,3628 ,Boleto Bancario
TRN-45631,03-01-2026,Monitor 24,Perifericos,14,770.3184744775928,GO,5569,Boleto Bancario
TRN-27238,20.05.26,Teclado Mecanico,perifericos,7,"257,15",BA,ID-3940,Boleto Bancario
TRN-28806,03-22-2026,  Notebook X ,Eletronicos,14,"R$ 3.450,49",RS,3112,Pix
TRN-9519,04-08-2026,Fone de Ouvido,Audio,3,BRL 186.40,PE,ID-7953,boleto bancario
TRN-27954,2026-06-18,Notebook X,Eletronicos,5,"3157,54",RJ,2886,Boleto Bancario
TRN-39137,2026-03-21,MONITOR 24,ND,,"R$ 814,56", GO ,5138,CARTAO DE CREDITO
TRN-7213,2026-04-17,Monitor 24,Perifericos,6,BRL 721.39,SP,7833,
TRN-1239,2026-06-22,MONITOR 24,Perifericos,14,"804,28",CE,4361,Boleto Bancario
TRN-15027,05.04.26,Monitor 24,Perifericos,6,BRL 811.96, PR ,2061 ,Cartao de Credito
TRN-27190,2026-02-27,Mouse Sem Fio,Perifericos,15,"R$ 123,04",PE,ID-4610,Cartao de Credito
TRN-6304,04-29-2026,MOUSE SEM FIO,perifericos,6,127.90,MG-,4755,Cartao de Credito
TRN-34407,02/06/2026,Teclado Mecanico,Perifericos,3,"253,62",CE,3313,Cartao de Credito
TRN-12920,24.05.26,Fone de Ouvido,ND,7,176.35,RJ,1681,BOLETO BANCARIO
TRN-24527,2026-06-09,Smartphone Y,Eletronicos,14.0,sem preco, SC ,7506,Boleto Bancario
TRN-16142,2026-06-21,MONITOR 24,Perifericos,8,"841,00", GO ,8898,Boleto Bancario
TRN-49929,2026-05-21,Mous3 S3m Fio,Perifericos,2.0,BRL 112.36,PR,5124 ,Pix
TRN-7556,2026-01-30,smartphone y,Eletronicos,2 pcs,2026.2455809882847,SC,9460,Pix
TRN-49830,2026/01/15 00:00:00,Tablet Z,Eletronicos,9,"R$ 1.145,83",PE,8412,Pix
TRN-37471,26/02/2026,Smartphone Y,Eletronicos,13,"2176,00",Minas Gerais,ID-8309,Boleto Bancario
TRN-14977,2026/03/19 00:00:00,Teclado Mecanico,Perifericos,8,"255,60",BA,2352,Cartao de Credito
TRN-42742,21.05.26,,Eletronicos,7,BRL 3470.99,CE-,9274,Boleto Bancario
TRN-34197,2026-03-25,MOUSE SEM FIO,Perifericos,,sem preco,RS,8775,Cartao de Credito
TRN-8291,25/04/2026,,,7,"2301,95",SC,7952,Pix
TRN-3499,2026/03/21 00:00:00,Tablet Z,Eletronicos,13,1160.900105797884,RJ,2681,Boleto Bancario
TRN-34650,08.05.26,  Fone de Ouvido ,Audio,5,"166,32",MG-,7110,PIX
TRN-1351,17/05/2026,Not3book X,Eletronicos,10,BRL 3651.59,BA,5926,PIX
TRN-37125,06.04.26,Tablet Z,Eletronicos,13,1308.32,CE,ID-7093,cartao de credito
TRN-15797,2026-01-09,teclado mecanico,Perifericos,15,sem preco,RJ,4879,Cartao de Credito
TRN-43867,24/04/2026,,Perifericos,8,"R$ 833,08",BA,8691,Pix
TRN-41064,01-06-2026,mouse sem fio,ND,4,126.79431316523767,SP,9973 ,Boleto Bancario
TRN-855,03-01-2026,  Teclado Mecanico ,perifericos,14,"R$ 240,79",BA-,2953 ,Cartao de Credito
25494,03-31-2026,  Teclado Mecanico ,Perifericos,14,"R$ 249,27",ce,ID-7586,Pix
TRN-27268,23.04.26,Teclado Mecanico,ND,10,BRL 238.06,PR,1603,Boleto Bancario
TRN-33901,14.03.26,Teclado Mecanico,Perifericos,5,"R$ 230,11",CE-,1658,Boleto Bancario
TRN-17769,2026-01-27,Mouse Sem Fio,Perifericos,1,"115,01",SC,2204,Boleto Bancario
12940,N/A,Mouse Sem Fio,Perifericos,2,"111,05",go,3302,Cartao de Credito
TRN-228,16/06/2026,fone de ouvido,Audio,10,"R$ 189,10",CE,1463,Pix
TRN-44202,2026/06/16 00:00:00,,eletronicos,5,"R$ 2.139,18",PR,4361,Pix
TRN-41926,30.03.26,TECLADO MECANICO,Perifericos,11,"262,78",SP,2891,Cartao de Credito
TRN-41755,13/01/2026,T@bl3t Z,Eletronicos,12,"1206,43",GO,4900,Pix
TRN-7131,10/03/2026,Smartphone Y,Eletronicos,1,2289.27,BA,6914,Boleto Bancario
TRN-33713,28/04/2026,  Tablet Z ,Eletronicos,11,"R$ 1.286,55",SC,1779,Boleto Bancario
TRN-36104,2026-03-19,  Fone de Ouvido ,Audio,12,"R$ 164,87",CE,8620,Pix
TRN-29046,04.04.26,  Fone de Ouvido ,ND,4,169.43,PR,1776,Cartao de Credito
TRN-8541,2026-03-14,FONE DE OUVIDO,Audio,2,sem preco,GO,5222,Cartao de Credito
TRN-21671,2026-06-13,Mouse Sem Fio,Perifericos,11,"108,94",PE,4436,cartao de credito
